TF_name,linked_gene,TF_gene
AATF,BBC3,AATF_BBC3
AATF,CDKN1A,AATF_CDKN1A
AATF,BAX,AATF_BAX
AATF,TRP53,AATF_TRP53
AATF,BAK1,AATF_BAK1
AATF,TPT1,AATF_TPT1
AATF,,AATF_
ABL1,JUN,ABL1_JUN
ABL1,CCND2,ABL1_CCND2
ABL1,CDKN1A,ABL1_CDKN1A
ABL1,CSF1,ABL1_CSF1
ABL1,BCL6,ABL1_BCL6
ABL1,BCL2,ABL1_BCL2
ABL1,BAX,ABL1_BAX
ABL1,PIM1,ABL1_PIM1
ABL1,FOXO3,ABL1_FOXO3
ABL1,TP53,ABL1_TP53
ABL1,,ABL1_
AHR,PCNA,AHR_PCNA
AHR,UGT1A1,AHR_UGT1A1
AHR,RFC3,AHR_RFC3
AHR,IL13,AHR_IL13
AHR,ARNT,AHR_ARNT
AHR,FOS,AHR_FOS
AHR,BRCA1,AHR_BRCA1
AHR,IL1B,AHR_IL1B
AHR,MT2A,AHR_MT2A
AHR,IL6,AHR_IL6
AHR,CYP2B6,AHR_CYP2B6
AHR,CCND1,AHR_CCND1
AHR,CCNG2,AHR_CCNG2
AHR,MYC,AHR_MYC
AHR,CYP1A2,AHR_CYP1A2
AHR,AHRR,AHR_AHRR
AHR,UGT1A6,AHR_UGT1A6
AHR,CYP1A1,AHR_CYP1A1
AHR,CYP1B1,AHR_CYP1B1
AHR,CA9,AHR_CA9
AHR,MFSD2A,AHR_MFSD2A
AHR,ABCG2,AHR_ABCG2
AHR,,AHR_
AHR,NQO1,AHR_NQO1
AHR,ABCC4,AHR_ABCC4
AHR,SERPINB2,AHR_SERPINB2
AHR,LHB,AHR_LHB
AHR,APAF1,AHR_APAF1
AHR,PLA2G4A,AHR_PLA2G4A
AHR,GATA4,AHR_GATA4
AHR,UGT1A6A,AHR_UGT1A6A
AHR,CYP19A1,AHR_CYP19A1
AHR,PTGS2,AHR_PTGS2
AHR,VAV3,AHR_VAV3
AHR,IL17A,AHR_IL17A
AHR,SMOC2,AHR_SMOC2
AHR,E2F2,AHR_E2F2
AHR,GSTA1,AHR_GSTA1
AHR,SNAI2,AHR_SNAI2
AHR,NKX2-5,AHR_NKX2-5
AHR,SIM1,AHR_SIM1
APC,F8,APC_F8
APC,DLG1,APC_DLG1
APC,AMHR2,APC_AMHR2
APC,ODC1,APC_ODC1
APC,MYC,APC_MYC
APC,AKT1,APC_AKT1
APC,BIRC5,APC_BIRC5
APC,NOS2,APC_NOS2
APC,KLF4,APC_KLF4
APC,DNMT1,APC_DNMT1
APC,PTGS2,APC_PTGS2
APC,SGK1,APC_SGK1
APC,,APC_
APEX1,RELA,APEX1_RELA
APEX1,PTH,APEX1_PTH
APEX1,CYP11B2,APEX1_CYP11B2
APEX1,CD19,APEX1_CD19
APEX1,CCL2,APEX1_CCL2
APEX1,NFKB1,APEX1_NFKB1
APEX1,SLC5A5,APEX1_SLC5A5
APEX1,,APEX1_
APEX1,BLK,APEX1_BLK
APEX1,CCL12,APEX1_CCL12
APEX1,PAX5,APEX1_PAX5
APEX1,APOD,APEX1_APOD
APEX1,TLR4,APEX1_TLR4
APEX1,PTGS2,APEX1_PTGS2
AR,PTPN1,AR_PTPN1
AR,MED1,AR_MED1
AR,USP26,AR_USP26
AR,JUN,AR_JUN
AR,SRD5A3,AR_SRD5A3
AR,GREB1,AR_GREB1
AR,FN1,AR_FN1
AR,ETV1,AR_ETV1
AR,TSC2,AR_TSC2
AR,TSC1,AR_TSC1
